url,Bedrooms,Bathrooms,Balconies,Carpet area,Loading,Developer,Project,Status,Transaction type,Floor,Car parking,Price Breakup,Unnamed: 13,Facilities,Address,Landmarks,Facing,Overlooking,Flooring,Water Availability,Status of Electricity,Lift,Age of Construction,Furnishing,Authority Approval,Floors allowed for construction,Type of Ownership,Brokerage Response,Loan Offered by,Amenities,Super area,Furnished status,RERA ID,Possession by,Car Parking,Puja Room,Plot area,Store Room,Units Available,Servant Room,Balcony,Bathroom,Study Room,Lifts,Location_Score
https://www.magicbricks.com/propertyDetails/3-BHK-1215-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Chhattarpur-in-New-Delhi&id=4d423533373736353037,3 See Dimensions,2.0,,1150 sqft,5%,,,Ready to Move,"New Property
Free Legal Title Check",1 (Out of 3 Floors),1 Covered,"₹ 65.0 Lac ₹ 4,55,000 Approx. Registration Charges
See Other Charges",,"Power Back Up, Lift, Rain Water Harvesting, Gymnasium, Park, Reserved Parking, Security, Water Storage, Private Terrace/Garden, Vaastu Compliant, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Internet/Wi-Fi Connectivity, DTH Television Facility, RO Water System, Piped Gas","c-17, Chhattarpur, New Delhi - South, Delhi NCR","the property is near to metro station, gym, saloon, temple.",North - East,Main Road,Vitrified,24 Hours Available,No/Rare Powercut,1,New Construction,Semi-Furnished,RWA/Co-operative Housing Society,,Power Of Attorney,Brokers please do not contact,,,,Semi-Furnished,,,,1.0,4600 sqft,1.0,2.0,,1.0,,,,8.0
https://www.magicbricks.com/propertyDetails/3-BHK-102-Sq-m-Builder-Floor-Apartment-FOR-Sale-Rohini-Sector-21-in-New-Delhi&id=4d423535343734323031,3 See Dimensions,3.0,,90 sqm,11%,,,Ready to Move,"New Property
Free Legal Title Check",1 (Out of 4 Floors),"1 Covered, 1 Open","₹ 95.0 Lac ₹ 6,64,999 Approx. Registration Charges ₹ 300 Monthly
See Other Charges",,"Lift, Park, Reserved Parking, Security, Water Storage, Service/Goods Lift, Visitor Parking, Intercom Facility, Waste Disposal, Piped Gas","sec 21 rohini, Sector 21 Rohini, New Delhi - Rohini, Delhi NCR",Near by Ganga international School,East,"Garden/Park, Main Road","Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,1,New Construction,Semi-Furnished,Development Authority,,Freehold,,,,,Semi-Furnished,,,,,90 sqm,,,,1.0,,,,7.0
https://www.magicbricks.com/propertyDetails/3-BHK-2100-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-Sector-11-in-New-Delhi&id=4d423536383839363135,3 See Dimensions,3.0,3.0,1850 sqft,11%,Cooperative Group Housing Society,Raman Vihar Apartment,Ready to Move,"Resale
Free Legal Title Check",8 (Out of 10 Floors),"1 Covered, 1 Open","₹ 2.20 Cr ₹ 15,39,972 Stamp Duty, Registration Charges ₹ 2,400 Monthly
See Other Charges",,"Power Back Up, Lift, Rain Water Harvesting, Gymnasium, Park, Reserved Parking, Security, Water Storage, Vaastu Compliant, Service/Goods Lift, Air Conditioned, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Laundry Service, DTH Television Facility, RO Water System, Piped Gas","plot no. 5A, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR",Plot no. 5a,"North
Talk to our best Vastu Consultants to get instant solution. View Consultants","Garden/Park, Main Road","Mosaic, Vitrified, Granite",24 Hours Available,No/Rare Powercut,2,5 to 10 years,Semi-Furnished,RWA/Co-operative Housing Society,,Freehold,,,"Convenience Leisure Environment Security Sports
Fire Fighting Equipment
Guest Accommodation
Flower Gardens
Event Space & Amphitheatre
Early Learning Centre
Dance Studio
Concierge Services
Bank & ATM
Coffee Lounge & Restaurants
Indoor Games Room
Indoor Squash & Badminton Courts
Kids Club
Activity Deck4
Retail Boulevard (Retail Shops)
Rentable Community Space
Recreational Pool
Multipurpose Courts
Meditation Area
Library And Business Centre
Kids Play Area
Canopy Walk
Barbeque Pit
Arts & Craft Studio
Service/Goods Lift
Water Storage
Security
Reserved Parking
Park
Club House
Rain Water Harvesting
Lift
Visitor Parking
Maintenance Staff
Waste Disposal
AEROBICS ROOM
Outdoor Tennis Courts
Jogging and Strolling Track
Conference Room
Cafeteria/Food Court
Bar/Lounge
DTH Television Facility
Laundry Service
Power Back Up",,,,,,,,,,,,,1.0,,6.0
https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-Sector-4-in-New-Delhi&id=4d423539393738313031,3 See Dimensions,3.0,3.0,1600 sqft,11%,Cooperative Group Housing Society,Defence Officers Apartment,Ready to Move,"Resale
Free Legal Title Check",8 (Out of 8 Floors),"1 Covered, 1 Open","₹ 1.82 Cr ₹ 12,73,986 Stamp Duty, Registration Charges ₹ 3,000 Monthly
See Other Charges",,"Power Back Up, Lift, Gymnasium, Park, Reserved Parking, Security, Water Storage, Visitor Parking, Intercom Facility, Maintenance Staff, Laundry Service, Piped Gas, Jogging and Strolling Track","Dwarka Sector 4, New Delhi, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",NK bagrodia public school,"North - East
Talk to our best Vastu Consultants to get instant solution. View Consultants","Garden/Park, Main Road",Marble,24 Hours Available,No/Rare Powercut,2,5 to 10 years,Semi-Furnished,Delhi Development Authority,,Co-operative Society,,,"Reserved Parking
Jogging and Strolling Track
Visitor Parking
Cycling & Jogging Track
Water Storage
Security
View all Amenities",,,,,,,,,4.0,1.0,,,,,3.0
https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-Sector-10-in-New-Delhi&id=4d423539383236353731,3 See Dimensions,3.0,3.0,1600 sqft,5%,Cooperative Group Housing Society,Baroda House Apartment,Ready to Move,"Resale
Free Legal Title Check",4 (Out of 10 Floors),None,"₹ 1.58 Cr ₹ 11,05,986 Stamp Duty, Registration Charges ₹ 2,100 Monthly
See Other Charges",,"Power Back Up, Lift, Park, Reserved Parking, Security, Water Storage, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Laundry Service, Internet/Wi-Fi Connectivity, Piped Gas, Jogging and Strolling Track","Dwarka Sector 10, New Delhi, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",near sector 10 metro station,"North - East
Talk to our best Vastu Consultants to get instant solution. View Consultants","Garden/Park, Main Road",Marble,,,,5 to 10 years,Unfurnished,RWA/Co-operative Housing Society,,Freehold,,,"Reserved Parking
Visitor Parking
Security",,,,,,1.0,,,2.0,,,,,,3.0
https://www.magicbricks.com/propertyDetails/3-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Om-Vihar-in-New-Delhi&id=4d423539333936363739,3 See Dimensions,2.0,,800 sqft,5%,,,Ready to Move,"New Property
Free Legal Title Check",1 (Out of 4 Floors),None,"₹ 50.0 Lac
See Other Charges",,,"Om Vihar, New Delhi - West, Delhi NCR",,,,,,,,New Construction,Semi-Furnished,,,,,,,,Semi-Furnished,,,,,,,,,1.0,,,,9.0
https://www.magicbricks.com/propertyDetails/2-BHK-120-Sq-yrd-Builder-Floor-Apartment-FOR-Sale-Taimoor-Nagar-in-New-Delhi-r3&id=4d423530393630303230,2 See Dimensions,3.0,,250 sqyrd,-108%,,,Ready to Move,"Resale
Free Legal Title Check",1 (Out of 5 Floors),3 Open,"₹ 80.0 Lac ₹ 5,60,000 Approx. Registration Charges
See Other Charges",,Reserved Parking,"taimoor nagar, Taimoor Nagar, New Delhi - South, Delhi NCR",gurduwara,North - East,Garden/Park,Marble,6 Hours Available,No/Rare Powercut,None,5 to 10 years,Unfurnished,New Delhi Municipal Council,,Freehold,Brokers please do not contact,,,,Unfurnished,,,,,120 sqyrd,1.0,,,1.0,,,None,5.0
https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Greater-Kailash-1-in-New-Delhi&id=4d423539343237343433,3,4.0,5.0,1600 sqft,11%,,,Ready to Move,"Resale
Free Legal Title Check",4 (Out of 4 Floors),None,"₹ 3.50 Cr ₹ 24,50,000 Approx. Registration Charges
See Other Charges",,"Power Back Up, Lift, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking, Security, Private Terrace/Garden, Vaastu Compliant, Service/Goods Lift, Air Conditioned, Maintenance Staff, Waste Disposal, Laundry Service, RO Water System, Piped Gas, Jogging and Strolling Track, Outdoor Tennis Courts","c bloxk, GK I, New Delhi - South, Delhi NCR",mkt,East,Garden/Park,,,,,5 to 10 years,Semi-Furnished,,,Freehold,,,,,Semi-Furnished,,,,1.0,,1.0,,1.0,,,,,9.0
https://www.magicbricks.com/propertyDetails/2-BHK-500-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Rohini-Sector-24-in-New-Delhi&id=4d423537393430343837,2 See Dimensions,2.0,,450 sqft,10%,,,Ready to Move,"Resale
Free Legal Title Check",1 (Out of 4 Floors),1 Open,"₹ 42.0 Lac ₹ 2,94,000 Approx. Registration Charges
See Other Charges",,"Park, Reserved Parking, Security, Water Storage, Vaastu Compliant, Visitor Parking, Intercom Facility, Waste Disposal, Piped Gas","Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Near by Delhi public school,North - East,"Garden/Park, Main Road","Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,,New Construction,Semi-Furnished,Development Authority,,Freehold,,,,,Semi-Furnished,,,,,,,,,1.0,,,,7.0
https://www.magicbricks.com/propertyDetails/3-BHK-1850-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarita-Vihar-Pocket-F-in-New-Delhi&id=4d423532393936303737,3 See Dimensions,3.0,3.0,1750 sqft,5%,,,Ready to Move,"Resale
Free Legal Title Check",Ground (Out of 3 Floors),2 Open,"₹ 1.80 Cr ₹ 12,59,905 Stamp Duty, Registration Charges
See Other Charges",,"Park, Reserved Parking, Security, Visitor Parking, Piped Gas, Jogging and Strolling Track","Sarita Vihar, New Delhi, Sarita Vihar Pocket F, New Delhi - South, Delhi NCR",Near F &G Market,North - East,"Garden/Park, Main Road","Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,None,5 to 10 years,Unfurnished,Delhi Development Authority,,Freehold,,,,,Unfurnished,,,,1.0,,1.0,2.0,,,,1.0,None,3.0
