Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,2,2,3,2,0,250,7.0,2
3,2,1,3,1,0,390,6.0,1
2,1,1,2,4,0,35,9.0,4
3,0,2,3,2,0,175,4.0,2
3,2,1,3,1,0,375,9.0,1
3,3,1,3,2,0,250,4.0,2
3,1,1,2,1,0,65,8.0,1
3,2,1,3,1,0,95,7.0,1
3,2,1,3,8,0,220,6.0,8
3,2,1,3,8,0,182,3.0,8
3,0,2,3,4,0,158,3.0,4
3,0,1,2,1,0,50,9.0,1
2,3,2,3,1,0,80,5.0,1
3,0,1,4,4,0,350,9.0,4
2,1,1,2,1,0,42,7.0,1
3,2,2,3,0,0,180,3.0,0
2,2,1,2,4,0,112,3.0,4
2,0,1,2,1,0,38,9.0,1
3,2,1,4,1,0,800,6.0,1
3,0,1,3,0,0,235,5.0,0
3,1,0,2,3,0,95,8.0,3
3,1,0,3,1,0,260,5.0,1
2,2,1,2,1,0,110,4.0,1
3,0,2,3,3,0,390,7.0,3
3,2,0,3,2,0,144,4.0,2
3,0,1,2,4,0,40,8.0,4
3,2,2,4,3,0,750,10.0,3
2,1,1,2,1,0,87,8.0,1
3,4,2,4,1,0,400,9.0,1
3,2,1,3,3,0,350,4.0,3
3,1,1,2,1,0,72,8.0,1
3,1,1,2,0,0,58,6.0,0
2,2,1,2,3,0,125,3.0,3
2,0,2,2,1,0,29,8.0,1
3,1,0,3,8,0,179,3.0,8
3,2,1,2,5,0,185,3.0,5
2,1,1,2,3,0,47,7.0,3
3,2,1,3,1,0,285,5.0,4
3,1,1,3,1,0,160,10.0,1
3,2,1,3,3,0,225,6.0,3
2,0,1,2,4,0,20,10.0,4
3,0,1,3,1,0,300,7.0,1
2,1,1,2,1,0,36,6.0,1
3,2,2,2,1,0,136,3.0,1
2,1,2,2,1,0,23,9.0,1
2,0,1,2,1,0,32,6.0,1
2,1,1,2,3,0,60,5.0,3
3,3,1,2,4,0,220,9.0,4
3,2,1,2,2,0,176,5.0,2
3,2,0,2,6,0,167,5.0,6
2,0,2,2,2,0,38,4.0,2
3,1,1,3,1,0,75,6.0,1
2,0,1,2,3,0,70,5.0,3
2,0,2,2,1,0,150,7.0,1
3,0,1,3,1,0,240,6.0,1
3,1,1,3,1,0,60,7.0,1
3,0,0,2,1,0,68,9.0,1
3,0,1,2,3,0,52,10.0,3
3,1,1,2,9,0,204,6.0,9
3,1,1,3,3,0,300,9.0,3
3,0,1,2,0,0,65,10.0,0
3,0,1,2,2,0,72,7.0,2
3,1,1,3,2,0,360,8.0,2
