urls,url,Bedrooms,Bathrooms,Super area,Developer,Project,Status,Possession by,Transaction type,Car parking,Price Breakup,Unnamed: 12,Address,RERA ID,Water Availability,Status of Electricity,Lift,Furnishing,Loan Offered by,Amenities,Flooring,Floors allowed for construction,Furnished status,Carpet area,Loading,Floor,Car Parking,Bathroom,Facilities,Puja Room,Balconies,Landmarks,Facing,Overlooking,Age of Construction,Authority Approval,Type of Ownership,Brokerage Response,Units Available,Balcony,Lifts,Servant Room,Store Room,Plot area,Study Room,Unnamed: 46,Unnamed: 47,
,https://www.magicbricks.com/propertyDetails/3-BHK-1193-Sq-ft-Multistorey-Apartment-FOR-Sale-Tonk-Road-in-Jaipur&id=4d423630363538303235,3 See Dimensions,3.0,,Okay Plus Group,Okay Plus Kanak Aangan,Under Construction,Aug '22,"New Property
Free Legal Title Check",1 Open,₹ 75.0 Lac,,"Tonk Road, Jaipur, Rajasthan",RAJ/P/2018/641,24 Hours Available,No/Rare Powercut,1,Unfurnished,,"Conference Room
Visitor Parking
Waste Disposal
Rain Water Harvesting
Water Storage
Gymnasium
View all Amenities","Vitrified, Wooden, Marble",,,1088 sqft,8%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1726-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423539343034303531,3,3.0,,Shiv Sital Builders Pvt. Ltd.,Times Residency,Under Construction,Dec '24,"New Property
Free Legal Title Check",,₹ 77.7 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2021/1706,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Multipurpose Hall
Conference Room
Rain Water Harvesting
Service/Goods Lift
Skydeck
Vaastu Compliant
View all Amenities","Vitrified, Wooden, Ceramic Tiles",13.0,,974 sqft,43%,2 (Out of 13 Floors),None,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-630-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423539383137333131,3 See Dimension,3.0,,RK Builders & Developers,RK Residency,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 54.5 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2021/1752,24 Hours Available,No/Rare Powercut,1,Furnished,,"CCTV Camera
Security
Lift",,6.0,,430 sqft,31%,1 (Out of 6 Floors),,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1455-Sq-ft-Multistorey-Apartment-FOR-Sale-Mansarovar-in-Jaipur&id=4d423630353436383433,3 See Dimensions,3.0,1455 sqft,Manglam Build Developers Ltd.,Manglam Garden City,Under Construction,Dec '24,"New Property
Free Legal Title Check",1 Covered,₹ 45.1 Lac,,"Mansarovar, Jaipur, Rajasthan",RAJ/P/2021/1621,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Visitor Parking
Waste Disposal
Rain Water Harvesting
Water Storage
Bank & ATM
Maintenance Staff
View all Amenities",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-563-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423539333135393631,2,,,KGK Realty,Samriddhi,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 13.0 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2017/261,24 Hours Available,No/Rare Powercut,,Unfurnished,,"Multipurpose Hall
Visitor Parking
Waste Disposal
Rain Water Harvesting
Indoor Games Room
Security
View all Amenities",Vitrified,8.0,Unfurnished,407 sqft,27%,,,1.0,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-566-Sq-ft-Multistorey-Apartment-FOR-Sale-Mansarovar-Extension-in-Jaipur&id=4d423538323431303431,2 See Dimensions,2.0,,Aashish Group,Aamor,Under Construction,Jun '23,"New Property
Free Legal Title Check",None,₹ 16.5 Lac,,"Mansarovar Extension, Jaipur, Rajasthan",RAJ/P/2018/685,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Multipurpose Hall
Meditation Area
Jogging and Strolling Track
Visitor Parking
CCTV Camera
Rain Water Harvesting
View all Amenities",Vitrified,11.0,,429 sqft,24%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1766-Sq-ft-Multistorey-Apartment-FOR-Sale-Raja-Park-in-Jaipur&id=4d423536373339343833,3 See Dimensions,3.0,1766 sqft,Manglam Group,Park Infinia,Under Construction,Dec '23,"New Property
Free Legal Title Check",1 Covered,₹ 1.27 Cr,,"Raja Park, Jaipur, Rajasthan",RAJ/P/2021/1454,24 Hours Available,No/Rare Powercut,2,Semi-Furnished,,"Convenience Leisure Environment Security Sports
Infinity Swimming Pool
Earth quake resistant
3 Tier Security System
Grand Entrance lobby
Premium branded fittings
Located in the Heart of city
Theme based Architectures
Multipurpose Hall
Event Space & Amphitheatre
Park
Banquet Hall
Kids Play Pool With Water Slides
Meditation Area
Lift
Guest lobby in each floor
Power Back Up
Library
Bank & ATM
Indoor Games Room
Kids Play Area
Concierge Services
Jogging and Strolling Track
Piped Gas
Rain Water Harvesting
Club House
Swimming Pool
Gymnasium
Reserved Parking
Security
Water Storage
Vaastu Compliant
Service/Goods Lift
Air Conditioned
Visitor Parking
Intercom Facility
Maintenance Staff
Waste Disposal
Internet/Wi-Fi Connectivity
DTH Television Facility
Fire Fighting Equipment",Vitrified,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1292-Sq-ft-Multistorey-Apartment-FOR-Sale-Mansarovar-Extension-in-Jaipur&id=4d423539363738343237,2 See Dimensions,2.0,1292 sqft,Shubham Group,Shubh Nikunj,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 44.2 Lac,,"Mansarovar Extension, Jaipur, Rajasthan",RAJ/P/2018/620,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Meditation Area
Jogging and Strolling Track
CCTV Camera
Rain Water Harvesting
Water Storage
Gymnasium
View all Amenities",Vitrified,9.0,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-984-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423531363639323837,2,2.0,984 sqft,Gangaa Kotecha Group,Royal Gravitaz,Under Construction,Dec '23,"New Property
Free Legal Title Check",None,₹ 34.4 Lac,,"Vaishali Nagar, Jaipur, Rajasthan",RAJ/P/2020/1339,24 Hours Available,No/Rare Powercut,4,Unfurnished,,"Visitor Parking
Waste Disposal
Rain Water Harvesting
Water Storage
Security
Kids Play Area
View all Amenities","Vitrified, Ceramic Tiles",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1995-Sq-ft-Multistorey-Apartment-FOR-Sale-Mansarovar-Extension-in-Jaipur&id=4d423530313235343334,3,3.0,1995 sqft,Urbana Group,Urbana Jewels,Ready to Move,,"New Property
Free Legal Title Check",1 Covered,₹ 46.0 Lac,,"Mansarovar Extension, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Jogging and Strolling Track
Waste Disposal
Rain Water Harvesting
Indoor Games Room
Security
Gymnasium
View all Amenities","Wooden, Marble",10.0,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1269-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423433383432383533,2,2.0,1269 sqft,Mahima Real Estate Pvt. Ltd.,Mahima Nirvana Phase II,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 39.3 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2017/041,,,,Unfurnished,5 more,"Jogging and Strolling Track
Cycling & Jogging Track
Rain Water Harvesting
Indoor Games Room
Security
Gymnasium
View all Amenities",,,Unfurnished,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Swimming Pool, Gymnasium, Reserved Parking, Security, Intercom Facility, Internet/Wi-Fi Connectivity, DTH Television Facility, Jogging and Strolling Track",,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423536313432303933,2 See Dimensions,2.0,900 sqft,Ruheen Developers And Properties LLP,Ruheen Regal,Under Construction,Apr '22,"New Property
Free Legal Title Check",None,₹ 27.2 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2021/1499,24 Hours Available,No/Rare Powercut,2,Semi-Furnished,,"Conference Room
Visitor Parking
Waste Disposal
Rain Water Harvesting
Water Storage
Kids Play Area
View all Amenities","Vitrified, Ceramic Tiles, Marble, Granite",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423536313237363139,3,3.0,1675 sqft,Taruchaya Colonizers Private Limited,Taruchaya Residency,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 62.0 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2017/032,24 Hours Available,No/Rare Powercut,4,Unfurnished,,"Meditation Area
Jogging and Strolling Track
Waste Disposal
Rain Water Harvesting
Indoor Games Room
Security
View all Amenities","Vitrified, Granite, Marbonite",14.0,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Tonk-Road-in-Jaipur&id=4d423539393033333237,2 See Dimensions,,,ABP Affordable Housing,Vasundhara Kutumb,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 12.7 Lac,,"Tonk Road, Jaipur, Rajasthan",RAJ/P/2017/103,24 Hours Available,No/Rare Powercut,4,Unfurnished,,"Laundry Service
Conference Room
Visitor Parking
Waste Disposal
Kids Splash Pool
Water Storage
View all Amenities",Vitrified,,Unfurnished,427 sqft,22%,,,1.0,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-573-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423539333432363633,2,2.0,,Savera Housing,Mahal Aangan,Under Construction,Jan '24,"New Property
Free Legal Title Check",None,₹ 17.0 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2018/622,24 Hours Available,No/Rare Powercut,4,Semi-Furnished,,"Grand Entrance lobby
Multipurpose Hall
Visitor Parking
Jogging and Strolling Track
Waste Disposal
Rain Water Harvesting
View all Amenities",,,,445 sqft,22%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-886-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423537313130373639,2 See Dimensions,2.0,886 sqft,Sankalp Group,Sankalp Alexa Homes,Under Construction,Nov '22,"New Property
Free Legal Title Check",None,₹ 31.5 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2021/1536,24 Hours Available,No/Rare Powercut,2,Furnished,,"Jogging and Strolling Track
Visitor Parking
Rain Water Harvesting
Water Storage
Gymnasium
Security
View all Amenities",Vitrified,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1362-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423539323034393335,3,3.0,,Kohinoor Builders and Colonizers,ABD Pristine,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 55.0 Lac,,"Vaishali Nagar, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,1,Furnished,,"Waste Disposal
Service/Goods Lift
Water Storage
Security
Gymnasium
Vaastu Compliant
View all Amenities",,4.0,Furnished,1280 sqft,6%,,,,,,,,,,,,,,,,,,,,,,,
