url,Bedrooms,Bathrooms,Balconies,Servant Room,Super area,Carpet area,Loading,Developer,Project,Status,Transaction type,Floor,Car parking,Price Breakup,,Facilities,Address,Landmarks,Facing,RERA ID,Overlooking,Flooring,Water Availability,Status of Electricity,Lift,Age of Construction,Furnishing,Authority Approval,Type of Ownership,Brokerage Response,Loan Offered by,Amenities,PRICE,CONFIGURATION,TOWER & UNIT DETAILS,STATUS,Store Room,TOWER,Balcony,Study Room,Puja Room,Plot area,Furnished status,Units Available,Floors allowed for construction,UNIT DETAILS,Lifts,Bathroom
https://www.magicbricks.com/propertyDetails/2-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Mayur-Vihar-1-in-New-Delhi&id=4d423539353034363937,,Free Property Valuation,,,,2 See Dimensions,2,,,600 sqft,550 sqft,8%,6200 sqft,Semi-Furnished,No/Rare Powercut,Freehold,North - East,"₹ 34.0 Lac ₹ 2,38,000 Approx. Registration Charges ₹ 500 Monthly
See Other Charges",None,,,"Power Back Up, Lift, Park, Reserved Parking, Security, Private Terrace/Garden, Vaastu Compliant, Maintenance Staff, Waste Disposal, Piped Gas, Jogging and Strolling Track","24., Mayur Vihar 1, New Delhi - East, Delhi NCR",alchon International school,Main Road,Marble,24 Hours Available,,3 (Out of 5 Floors),,,,,,,,,,,,,1,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Indraprastha-Extension-in-New-Delhi&id=4d423538373939373737,,Free Property Valuation,,,2,2,1,,,1,1000 sqft,900 sqft,10%,Semi-Furnished,Near By Market,East,Main Road,"₹ 1.19 Cr ₹ 8,33,000 Stamp Duty, Registration Charges
See Other Charges",Ground (Out of 4 Floors),,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Park, Reserved Parking, Security, Vaastu Compliant, Service/Goods Lift, Intercom Facility, Maintenance Staff, Waste Disposal, DTH Television Facility, RO Water System, Piped Gas, Jogging and Strolling Track, Outdoor Tennis Courts","Patparganj, Indraprastha Extension, New Delhi - East, Delhi NCR",,"Resale
Free Legal Title Check",,,,,,,,,,,,,,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Kailash-hills-in-New-Delhi&id=4d423533393730313335,,,,,,3 See Dimensions,3,,,1100 sqft,900 sqft,18%,1200 sqft,Semi-Furnished,1,Freehold,North - East,"₹ 2.0 Cr ₹ 14,00,000 Approx. Registration Charges ₹ 500 Monthly
See Other Charges","1 Covered, 1 Open",,,"Power Back Up, Lift, Rain Water Harvesting, Park, Reserved Parking, Security, Water Storage, Vaastu Compliant, Service/Goods Lift, Air Conditioned, Visitor Parking, Waste Disposal, RO Water System","Kailash hills New Delhi, Kailash hills, New Delhi - South, Delhi NCR",Nearby Kailash Colony Metro Station,"Garden/Park, Main Road","Vitrified, Wooden, Ceramic Tiles, Marble, Marbonite",24 Hours Available,,3 (Out of 4 Floors),No/Rare Powercut,,,,,,,,,,,,1,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Rohini-Sector-24-in-New-Delhi&id=4d423534313730393039,,Free Property Valuation,,,2 See Dimensions,2,1,,,750 sqft,700 sqft,6%,750 sqft,Semi-Furnished,Semi-Furnished,North - East,"Garden/Park, Main Road","₹ 62.0 Lac ₹ 4,34,000 Approx. Registration Charges ₹ 500 Monthly
See Other Charges",3 (Out of 4 Floors),,,"Park, Reserved Parking, Security, Water Storage, Visitor Parking, Intercom Facility, Waste Disposal","Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Near by Prince public school,,"Garden/Park, Main Road",24 Hours Available,No/Rare Powercut,"New Property
Free Legal Title Check",New Construction,5,,,,,,,,,,,1,Ready to Move,"Marble, Normal Tiles/Kotah Stone",,,,
https://www.magicbricks.com/propertyDetails/3-BHK-2100-Sq-ft-Multistorey-Apartment-FOR-Sale-Vasant-Kunj-Sector-D-in-New-Delhi&id=4d423535343338363435,,,,,,3 See Dimensions,2,,3,2100 sqft,1850 sqft,11%,Saraswati Narmada Ganga Yamuna Apartment,Ready to Move,,5 (Out of 8 Floors),None,"₹ 2.95 Cr ₹ 20,64,909 Stamp Duty, Registration Charges ₹ 800 Monthly
See Other Charges",,,"Lift, Rain Water Harvesting, Park, Reserved Parking, Security, Water Storage, Visitor Parking, Maintenance Staff, Laundry Service, DTH Television Facility, Bar/Lounge, Jogging and Strolling Track","Sector D Vasant Kunj, New Delhi - South, Delhi NCR",,,,Nelson Mandela Road,"North
Talk to our best Vastu Consultants to get instant solution. View Consultants",,"Garden/Park, Main Road","Vitrified, Wooden",,,"₹ 85.0 Lac - ₹ 2.60 Cr
₹ 12,727 - ₹ 16,154 per sqft","1,2,3 BHK Flats",,Ready to Move,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1400-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Chhattarpur-in-New-Delhi&id=4d423539373836313633,,Free Property Valuation,,,3 See Dimensions,2,2,,,1,1400 sqft,1250 sqft,10%,Semi-Furnished,No/Rare Powercut,Freehold,North,"₹ 85.0 Lac ₹ 5,95,000 Approx. Registration Charges ₹ 1,000 Monthly
See Other Charges",1 Covered,,,"Lift, Reserved Parking, Water Storage, Vaastu Compliant, Visitor Parking, Waste Disposal","Hargobind enclave, Chhattarpur, New Delhi - South, Delhi NCR",odles garden satbari lane,"Garden/Park, Main Road","Ceramic Tiles, Granite, Marble, Vitrified",24 Hours Available,,1 (Out of 4 Floors),,,,,,,,,,,,,,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Lajpat-Nagar-1-in-New-Delhi-r1&id=4d423538303931383039,,,,,,2 See Dimensions,2,,,900 sqft,850 sqft,5%,910 sqft,Semi-Furnished,1,Freehold,North,"₹ 1.51 Cr ₹ 10,57,000 Approx. Registration Charges ₹ 500 Monthly
See Other Charges",1 Covered,,,"Lift, Gymnasium, Park, Security, Water Storage, Vaastu Compliant, Visitor Parking, Waste Disposal, Piped Gas, Jogging and Strolling Track","7777., Lajpat Nagar 1, New Delhi - South, Delhi NCR",Near Lajpat nagar metro station,"Garden/Park, Main Road","Mosaic, Vitrified, Wooden, Granite",24 Hours Available,No/Rare Powercut,1 (Out of 4 Floors),,,,,,,,,,,,,2,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-Sector-11-in-New-Delhi&id=4d423535353931343139,,,,,,3 See Dimensions,2,4,1800 sqft,1600 sqft,11%,Cooperative Group Housing Society,Rama Apartment,Ready to Move,,,5 (Out of 7 Floors),,"1 Covered, 1 Open",,"₹ 1.55 Cr ₹ 11,14,939 Stamp Duty, Registration Charges ₹ 2,500 Monthly
See Other Charges",,"Dwarka Sector 11, New Delhi, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR","North - East
Talk to our best Vastu Consultants to get instant solution. View Consultants",Garden/Park,Vitrified,24 Hours Available,No/Rare Powercut,2,,5 to 10 years,RWA/Co-operative Housing Society,"₹ 1.38 Cr - ₹ 1.95 Cr
₹ 7,500 - ₹ 10,000 per sqft","3,4 BHK Flats","8 Towers , 260 Units",Ready to Move,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Sale-Vasundhara-Enclave-in-New-Delhi&id=4d423535373936373931,,Free Property Valuation,,,2 See Dimensions,2,2,,1,1050 sqft,975 sqft,7%,Prayag Apartments,Ready to Move,,1 (Out of 4 Floors),2 Open,"₹ 85.0 Lac ₹ 5,94,982 Stamp Duty, Registration Charges ₹ 1,500 Monthly
See Other Charges",,,"Power Back Up, Lift, Swimming Pool, Gymnasium, Park, Reserved Parking, Security, Water Storage, Vaastu Compliant, Visitor Parking, Intercom Facility, Laundry Service","Vasundhara Enclave, New Delhi, Vasundhara Enclave, New Delhi - East, Delhi NCR",near by dharamsheela hospital,"East
Talk to our best Vastu Consultants to get instant solution. View Consultants",Garden/Park,"Mosaic, Vitrified",24 Hours Available,No/Rare Powercut,None,,10 to 15 years,Delhi Development Authority,Call for Price,"2,3 BHK Flat","19 Towers , 183 Units",Ready to Move,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1250-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Rohini-Sector-20-in-New-Delhi&id=4d423535373634373033,,Free Property Valuation,,,,3 See Dimensions,2,,,1,1250 sqft,1150 sqft,8%,Semi-Furnished,New Construction,Freehold,North - East,"₹ 60.0 Lac ₹ 4,20,000 Approx. Registration Charges ₹ 100 Monthly
See Other Charges","1 Covered, 1 Open",,,"Lift, Park, Reserved Parking, Security, Water Storage, Service/Goods Lift, Visitor Parking, Intercom Facility, Waste Disposal","Sector 20 Rohini, New Delhi - Rohini, Delhi NCR",Near by kalika mandir,"Garden/Park, Main Road","Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,1 (Out of 4 Floors),,1,,,,,,,,,,,,Ready to Move,,,,,
